match_id,innings,over,ball_in_over,b15_actual_remaining,b15_predicted_remaining
392214,1,16,2,25,41.191944
392214,1,16,3,25,44.39841
392214,1,16,4,19,45.020287
392214,1,16,5,13,43.079163
392214,1,16,6,9,29.86617
392214,1,17,1,9,29.61515
392214,1,17,2,5,27.165802
392214,1,17,3,4,28.839039
392214,1,17,4,3,26.617275
392214,1,17,5,2,24.43281
392214,1,17,6,1,24.488401
392214,2,15,1,26,45.535122
392214,2,15,2,24,50.522533
392214,2,15,3,22,50.688198
392214,2,15,4,21,48.743732
392214,2,15,5,19,47.047832
392214,2,15,6,18,40.092213
392214,2,16,1,17,36.480396
392214,2,16,2,16,40.01578
392214,2,16,3,15,38.47251
392214,2,16,4,14,38.271385
392214,2,16,5,13,35.41508
392214,2,16,6,12,34.10311
392214,2,17,1,11,32.466446
392214,2,17,2,7,30.454653
392214,2,17,3,6,28.985167
392214,2,17,4,5,26.102882
392214,2,17,5,4,23.79322
392214,2,17,6,4,23.12845
392218,1,15,1,53,51.057163
392218,1,15,2,52,48.64209
392218,1,15,3,52,45.277714
392218,1,15,4,51,41.75216
392218,1,15,5,50,37.657166
392218,1,15,6,44,36.921238
392218,1,16,1,43,36.689964
392218,1,16,2,42,36.58665
392218,1,16,3,41,40.6897
392218,1,16,4,35,36.909576
392218,1,16,5,34,31.086226
392218,1,16,6,33,27.697626
392218,1,17,1,32,23.981655
392218,1,17,2,31,21.622814
392218,1,17,3,29,23.600328
392218,1,17,4,28,21.456264
392218,1,17,5,27,19.562153
392218,1,17,6,27,16.960258
392218,1,18,1,23,18.752478
392218,1,18,2,21,17.023579
392218,1,18,3,20,16.157953
392218,1,18,4,19,13.455022
392218,1,18,5,19,11.935482
392218,1,18,6,15,9.980453
392218,1,19,1,14,11.124616
392218,1,19,2,13,7.2059236
392218,1,19,3,9,5.6839385
392218,1,19,4,8,6.447245
392218,1,19,5,4,4.076391
392218,1,19,6,3,0.58558965
392218,1,19,7,2,1.9901407
392218,2,15,1,41,38.152157
392218,2,15,2,40,39.635246
392218,2,15,3,39,43.542103
392218,2,15,4,38,40.981216
392218,2,15,5,38,39.870327
392218,2,15,6,38,36.545673
392218,2,15,7,36,36.501003
392218,2,16,1,35,33.42366
392218,2,16,2,34,32.066902
392218,2,16,3,32,32.443844
392218,2,16,4,32,32.39101
392218,2,16,5,31,29.41321
392218,2,16,6,29,27.115227
392218,2,16,7,28,27.346548
392218,2,17,1,28,22.220348
392218,2,17,2,27,22.84296
392218,2,17,3,27,22.039309
392218,2,17,4,26,19.846233
392218,2,17,5,24,18.254482
392218,2,17,6,23,17.676088
392218,2,18,1,23,14.889816
392218,2,18,2,22,15.415176
392218,2,18,3,21,13.356748
392218,2,18,4,21,12.198301
392218,2,18,5,20,10.816948
392218,2,18,6,16,9.175679
392218,2,19,1,16,8.483747
392218,2,19,2,15,8.139004
392218,2,19,3,13,9.389028
392218,2,19,4,7,7.9644027
392218,2,19,5,6,4.0899754
392218,2,19,6,5,5.1267157
392218,2,19,7,1,4.5936294
392222,1,15,1,27,42.685024
392222,1,15,2,27,44.514126
392222,1,15,3,26,43.77353
392222,1,15,4,26,37.77762
392222,1,15,5,22,37.63817
392222,1,15,6,21,38.42309
392222,1,16,1,21,32.0409
392222,1,16,2,20,29.498919
392222,1,16,3,20,32.059723
392222,1,16,4,20,30.17386
392222,1,16,5,19,29.228615
392222,1,16,6,18,28.166624
392222,1,17,1,17,29.96949
392222,1,17,2,13,30.055035
392222,1,17,3,13,16.106064
392222,1,17,4,13,19.914412
392222,1,17,5,9,19.683537
392222,1,17,6,8,14.327199
392222,1,17,7,7,9.976041
392222,1,17,8,6,10.191887
392222,1,17,9,6,10.160198
392222,1,18,1,6,6.068753
392222,1,18,2,5,4.886468
392222,1,18,3,5,6.4710655
392222,1,18,4,5,6.1407137
392222,1,18,5,5,8.652955
392222,1,18,6,5,7.8840814
392222,1,19,1,5,4.6163354
392222,1,19,2,4,3.811878
392222,1,19,3,4,5.5380874
392222,1,19,4,3,3.5439086
392222,1,19,5,2,2.4938257
392222,1,19,6,1,0.9955414
392222,1,19,7,0,1.5020353
392222,2,15,1,9,42.48287
392222,2,15,2,9,36.731873
392222,2,15,3,9,28.872475
392222,2,15,4,8,29.910254
392222,2,15,5,8,26.036669
392222,2,15,6,8,24.586445
392222,2,15,7,7,22.874147
392222,2,15,8,6,31.880348
392222,2,16,1,5,32.7626
392222,2,16,2,4,33.775787
392225,1,15,1,22,55.233566
392225,1,15,2,21,41.726776
392225,1,15,3,21,41.398964
392225,1,15,4,20,36.284546
392225,1,15,5,19,47.08884
392225,1,15,6,19,41.295128
392225,1,16,1,19,37.529037
392225,1,16,2,19,33.741238
392225,1,16,3,18,33.31202
392225,1,16,4,18,31.258583
392225,1,16,5,17,30.422382
392225,1,16,6,16,28.217577
392225,1,16,7,15,25.535103
392225,1,17,1,15,25.552097
392225,1,17,2,15,24.045774
392225,1,17,3,14,22.101545
392225,1,17,4,13,24.79927
392225,1,17,5,9,24.206148
392225,1,17,6,8,23.09011
392225,1,17,7,7,21.190123
392225,1,18,1,7,18.616037
392225,1,18,2,7,17.751665
392225,1,18,3,6,12.790057
392225,1,18,4,5,11.507336
392225,1,18,5,4,13.9381485
392225,1,18,6,4,13.307092
392225,1,18,7,3,13.643127
392225,1,18,8,3,15.492867
392225,1,19,1,3,9.543754
392225,1,19,2,3,8.239404
392225,1,19,3,2,7.0191355
392225,1,19,4,1,4.9283996
392225,1,19,5,1,3.4198503
392225,1,19,6,1,1.7192949
392225,2,15,1,45,51.696342
392225,2,15,2,42,47.705147
392225,2,15,3,41,43.33804
392225,2,15,4,40,39.33152
392225,2,15,5,40,38.601402
392225,2,15,6,38,37.95071
392225,2,15,7,38,36.330257
392225,2,15,8,37,37.343403
392225,2,16,1,36,33.818657
392225,2,16,2,35,33.293728
392225,2,16,3,34,31.697304
392225,2,16,4,33,30.418348
392225,2,16,5,33,29.374537
392225,2,16,6,29,29.384378
392225,2,17,1,25,28.214512
392225,2,17,2,24,29.262096
392225,2,17,3,22,29.588602
392225,2,17,4,18,28.808882
392225,2,17,5,14,26.632458
392225,2,17,6,12,23.241909
392225,2,18,1,11,19.06176
392225,2,18,2,10,18.3501
392225,2,18,3,9,17.870028
392225,2,18,4,3,14.979458
392225,2,18,5,3,12.41801
392225,2,18,6,3,11.219363
392225,2,18,7,2,11.069542
392225,2,19,1,1,8.979367
392225,2,19,2,1,5.1657414
392225,2,19,3,1,5.370703
392225,2,19,4,1,3.8790538
392225,2,19,5,0,1.2431909
