match_id,innings,over,b11_actual_final_score,b11_predicted_final_score
336002,2,10,35,25.77644147603425
336002,2,11,35,26.70476437832041
336002,2,12,35,26.171648378072764
336002,2,13,35,32.29207810127457
336002,2,14,35,31.778996018464174
336002,2,15,35,34.030238153565776
336002,2,16,35,33.9309565960577
336002,2,17,35,32.64503745740455
336002,2,18,35,37.09182788960889
336003,1,0,36,25.472137899796575
336003,1,1,36,25.115963693800936
336003,1,2,36,24.403222399886783
336003,1,3,36,27.630052510715892
336003,1,4,36,31.457532419316724
336003,1,5,36,29.278130812174147
336003,1,6,36,28.432854594342842
336003,1,7,36,31.5399753424018
336003,1,8,36,30.124851364171075
336003,1,9,36,30.129041335160533
336003,1,10,36,29.32522421189348
336003,1,11,36,32.50950339221278
336003,1,12,36,31.710409416575086
336003,1,13,36,32.29207810127457
336003,1,14,36,31.778996018464174
336003,1,15,36,31.19068218723907
336003,1,16,36,33.9309565960577
336003,1,17,36,32.92354382325747
336003,1,18,36,31.870434854191554
336003,1,19,36,36.05841194095101
336003,2,0,26,24.742903440656814
336003,2,1,26,23.360823407600794
336003,2,2,26,23.46225018842174
336003,2,3,26,20.662271181065137
336003,2,4,26,21.595918763947108
336003,2,5,26,19.511856049336444
336003,2,6,26,18.682518611043502
336003,2,7,26,15.78125331326035
336003,2,8,26,15.062008013827748
336003,2,9,26,12.215171929042102
336003,2,10,26,13.744821245056576
336003,2,11,26,13.663343237726714
336003,2,12,26,13.003541937922476
336003,2,13,26,10.895242896936013
336003,2,14,26,17.02432459020358
336003,2,15,26,17.871844764870207
336003,2,16,26,17.791864334024748
336003,2,17,26,18.972309780409514
336003,2,18,26,23.41219258175815
336003,2,19,26,26.035605435082566
336016,1,0,25,24.742903440656814
336016,1,1,25,23.360823407600794
336016,1,2,25,26.404017028966788
336016,1,3,25,26.095123345457043
336016,1,4,25,23.858269877491555
336016,1,5,25,22.519580796635488
336016,1,6,25,22.530694318573886
336016,1,7,25,22.61948136160815
336016,1,8,25,23.002360659815018
336016,1,9,25,22.281335045718894
336016,1,10,25,20.161109962636218
336016,1,11,25,20.54880398301482
336016,1,12,25,19.826930439562016
336016,1,13,25,23.75949323345075
336016,1,14,25,20.53024017062332
336016,1,15,25,25.20261930176652
336016,1,16,25,24.142298734971487
336016,1,17,25,23.883902477734228
336016,1,18,25,22.341656336899458
336016,1,19,25,25.078218001148393
336016,2,0,20,23.585344252402724
336016,2,1,20,24.14291735907651
336016,2,2,20,24.403222399886783
336016,2,3,20,24.65607675815567
336016,2,4,20,23.695912870275997
336016,2,5,20,23.170953010846766
336016,2,6,20,23.084146004817416
336016,2,7,20,26.615281056689756
336016,2,8,20,27.386374793210667
336016,2,9,20,26.197008875443384
336016,2,10,20,26.081249719974664
336016,2,11,20,25.375848944973377
336016,2,12,20,25.50446264597371
336016,2,13,20,24.160534053477456
336016,2,14,20,26.91021626773807
